czas,temperatura,wilgotność,wiatr,opady,ciśnienie,Tsun_min
2022-10-10 00:00,7.85,83.3,11.9,0.02,1019.4,0.0
2022-10-10 01:00,7.62,83.75,12.78,0.0,1018.94,0.0
2022-10-10 02:00,7.4,85.1,11.76,0.0,1018.46,0.0
2022-10-10 03:00,7.47,85.8,11.14,0.0,1017.98,0.0
2022-10-10 04:00,7.3,87.0,11.16,0.0,1017.7,0.0
2022-10-10 05:00,7.12,87.85,10.56,0.0,1017.38,0.0
2022-10-10 06:00,7.29,87.25,10.64,0.0,1017.13,3.17
2022-10-10 07:00,8.12,84.8,10.82,0.0,1017.16,20.78
2022-10-10 08:00,9.78,80.35,12.41,0.0,1017.06,36.22
2022-10-10 09:00,11.78,74.75,14.68,0.0,1016.7,42.11
2022-10-10 10:00,13.38,70.85,15.84,0.0,1016.31,38.61
2022-10-10 11:00,14.95,67.05,16.41,0.0,1016.0,40.28
2022-10-10 12:00,16.07,64.15,17.42,0.0,1015.66,45.94
2022-10-10 13:00,16.43,63.4,15.97,0.0,1015.38,38.39
2022-10-10 14:00,16.78,61.7,16.56,0.0,1015.29,35.17
2022-10-10 15:00,16.35,64.55,16.27,0.02,1015.34,31.28
2022-10-10 16:00,15.32,69.6,14.57,0.09,1015.85,23.56
2022-10-10 17:00,13.48,78.9,12.75,0.05,1016.66,3.72
2022-10-10 18:00,12.68,81.35,12.24,0.06,1017.38,0.11
2022-10-10 19:00,12.18,83.9,13.9,0.0,1018.06,0.0
2022-10-10 20:00,11.92,85.25,14.1,0.02,1018.7,0.0
2022-10-10 21:00,11.22,87.9,13.16,0.06,1019.54,0.0
2022-10-10 22:00,10.7,88.15,12.99,0.29,1020.14,0.0
2022-10-10 23:00,9.98,89.65,11.68,0.12,1020.78,0.0
2022-10-11 00:00,9.8,89.75,10.99,0.43,1021.27,0.0
2022-10-11 01:00,9.47,90.95,10.34,0.04,1021.75,0.0
2022-10-11 02:00,9.18,91.75,10.0,0.0,1022.09,0.0
2022-10-11 03:00,9.02,92.15,10.15,0.0,1022.44,0.0
2022-10-11 04:00,8.75,93.45,10.17,0.01,1023.0,0.0
2022-10-11 05:00,8.56,93.55,9.96,0.0,1023.48,0.0
2022-10-11 06:00,8.46,93.45,9.46,0.0,1024.16,1.22
2022-10-11 07:00,8.96,91.1,9.58,0.0,1024.76,16.5
2022-10-11 08:00,9.86,86.55,9.98,0.0,1025.3,25.78
2022-10-11 09:00,11.1,81.4,10.74,0.0,1025.52,30.11
2022-10-11 10:00,11.95,76.6,11.16,0.0,1025.68,32.22
2022-10-11 11:00,12.64,72.2,11.82,0.0,1025.66,31.78
2022-10-11 12:00,13.07,68.45,12.16,0.0,1025.5,26.17
2022-10-11 13:00,13.34,67.3,11.7,0.0,1025.28,25.89
2022-10-11 14:00,13.5,66.0,11.24,0.0,1025.16,25.22
2022-10-11 15:00,13.22,66.5,10.38,0.0,1025.07,28.89
2022-10-11 16:00,12.43,70.95,9.02,0.0,1025.22,19.28
2022-10-11 17:00,10.95,77.5,8.04,0.0,1025.53,6.22
2022-10-11 18:00,9.67,82.05,6.89,0.0,1025.8,0.0
2022-10-11 19:00,9.23,84.25,6.64,0.0,1025.82,0.0
2022-10-11 20:00,8.53,87.0,6.19,0.0,1025.9,0.0
2022-10-11 21:00,7.89,89.15,6.07,0.0,1025.99,0.0
2022-10-11 22:00,7.56,90.4,6.03,0.0,1025.94,0.0
2022-10-11 23:00,7.26,91.1,6.35,0.0,1025.92,0.0
2022-10-12 00:00,6.96,92.2,6.4,0.0,1025.9,0.0
2022-10-12 01:00,6.76,93.0,6.49,0.0,1025.93,0.0
2022-10-12 02:00,6.24,94.05,5.92,0.0,1025.86,0.0
2022-10-12 03:00,6.03,94.15,5.74,0.0,1025.64,0.0
2022-10-12 04:00,5.97,94.15,5.24,0.0,1025.53,0.0
2022-10-12 05:00,5.86,93.5,4.94,0.0,1025.61,0.0
2022-10-12 06:00,5.74,93.95,5.2,0.0,1025.66,1.39
2022-10-12 07:00,6.74,91.65,5.26,0.0,1025.66,19.22
2022-10-12 08:00,8.46,86.9,5.73,0.0,1025.6,27.61
2022-10-12 09:00,10.4,79.5,7.18,0.0,1025.33,29.56
2022-10-12 10:00,12.11,73.45,7.92,0.0,1025.12,35.89
2022-10-12 11:00,13.28,68.35,9.22,0.0,1024.74,41.78
2022-10-12 12:00,14.13,65.1,9.72,0.0,1024.22,42.44
2022-10-12 13:00,14.56,62.95,9.09,0.0,1023.67,42.06
2022-10-12 14:00,14.84,62.7,9.01,0.0,1023.24,36.89
2022-10-12 15:00,14.48,64.25,8.34,0.0,1022.86,35.33
2022-10-12 16:00,13.5,69.15,8.2,0.0,1022.66,39.89
2022-10-12 17:00,11.48,78.35,6.8,0.0,1022.72,6.94
2022-10-12 18:00,10.29,84.05,6.52,0.0,1022.8,0.0
2022-10-12 19:00,9.47,86.6,7.24,0.0,1022.85,0.0
2022-10-12 20:00,9.12,88.55,7.2,0.0,1022.71,0.0
2022-10-12 21:00,8.75,90.15,7.65,0.0,1022.56,0.0
2022-10-12 22:00,8.42,90.7,7.68,0.0,1022.35,0.0
2022-10-12 23:00,7.92,91.3,7.68,0.0,1022.12,0.0
2022-10-13 00:00,7.86,91.7,7.98,0.0,1021.89,0.0
2022-10-13 01:00,7.75,92.4,8.05,0.0,1021.74,0.0
2022-10-13 02:00,7.79,92.3,8.34,0.0,1021.41,0.0
2022-10-13 03:00,8.04,92.5,8.37,0.0,1020.96,0.0
2022-10-13 04:00,7.97,93.35,8.6,0.0,1020.71,0.0
2022-10-13 05:00,8.02,93.4,8.82,0.0,1020.36,0.0
2022-10-13 06:00,8.43,93.9,9.33,0.02,1020.16,0.72
2022-10-13 07:00,8.95,93.5,9.45,0.0,1020.02,2.72
2022-10-13 08:00,10.1,90.3,9.57,0.0,1019.76,11.61
2022-10-13 09:00,11.18,87.8,11.18,0.0,1019.46,17.28
2022-10-13 10:00,12.39,83.25,11.98,0.0,1019.11,15.17
2022-10-13 11:00,13.16,80.9,12.5,0.0,1018.74,13.44
2022-10-13 12:00,13.82,78.7,12.74,0.12,1018.1,13.78
2022-10-13 13:00,14.12,77.9,13.7,0.18,1017.72,11.22
2022-10-13 14:00,14.2,78.65,12.51,0.16,1017.47,4.5
2022-10-13 15:00,13.93,79.55,11.16,0.21,1017.28,7.22
2022-10-13 16:00,13.24,82.85,9.61,0.08,1017.13,2.89
2022-10-13 17:00,12.49,87.1,8.42,0.09,1017.24,0.17
2022-10-13 18:00,12.02,89.25,8.88,0.08,1017.29,0.0
2022-10-13 19:00,11.68,90.2,8.43,0.06,1017.26,0.0
2022-10-13 20:00,11.34,91.65,8.52,0.06,1017.23,0.0
2022-10-13 21:00,11.15,92.55,8.94,0.07,1017.2,0.0
2022-10-13 22:00,11.08,92.25,9.57,0.02,1017.16,0.0
2022-10-13 23:00,10.89,93.35,9.13,0.04,1017.08,0.0
2022-10-14 00:00,10.83,93.95,9.05,0.13,1016.9,0.0
2022-10-14 01:00,10.81,93.85,9.0,0.0,1016.74,0.0
2022-10-14 02:00,10.51,95.15,7.62,0.02,1016.58,0.0
2022-10-14 03:00,10.64,94.45,7.5,0.01,1016.23,0.0
2022-10-14 04:00,10.74,93.65,8.44,0.01,1015.88,0.0
2022-10-14 05:00,10.78,93.6,8.46,0.02,1015.59,0.0
2022-10-14 06:00,10.82,94.05,8.33,0.03,1015.42,0.28
2022-10-14 07:00,11.16,94.05,8.28,0.02,1015.36,1.89
2022-10-14 08:00,11.88,91.9,8.26,0.0,1015.37,4.94
2022-10-14 09:00,12.8,87.85,10.17,0.0,1015.24,16.22
2022-10-14 10:00,13.61,83.75,12.52,0.04,1014.76,15.61
2022-10-14 11:00,14.33,80.4,13.57,0.0,1014.23,14.11
2022-10-14 12:00,14.6,78.8,14.23,0.01,1013.68,12.17
2022-10-14 13:00,14.84,78.65,13.74,0.18,1013.18,10.06
2022-10-14 14:00,14.66,80.3,12.3,0.06,1012.66,13.0
2022-10-14 15:00,14.39,82.3,12.49,0.19,1012.22,6.72
2022-10-14 16:00,13.78,85.8,11.45,0.11,1011.74,2.44
2022-10-14 17:00,13.31,88.1,10.57,0.06,1011.46,0.56
2022-10-14 18:00,13.18,89.2,11.9,0.1,1011.32,0.0
2022-10-14 19:00,12.94,90.5,13.0,0.25,1010.91,0.0
2022-10-14 20:00,12.84,91.8,13.74,0.21,1010.42,0.0
2022-10-14 21:00,12.78,92.35,14.2,0.4,1009.84,0.0
2022-10-14 22:00,12.74,93.3,13.61,0.24,1009.3,0.0
2022-10-14 23:00,12.84,93.35,13.19,0.13,1008.82,0.0
2022-10-15 00:00,12.83,93.75,12.74,0.19,1008.63,0.0
2022-10-15 01:00,12.72,94.6,12.77,0.38,1008.32,0.0
2022-10-15 02:00,12.64,95.5,12.52,0.32,1007.92,0.0
2022-10-15 03:00,12.57,95.45,12.2,0.5,1007.57,0.0
2022-10-15 04:00,12.55,95.65,11.48,0.36,1007.5,0.0
2022-10-15 05:00,12.47,95.95,11.26,0.38,1007.62,0.0
2022-10-15 06:00,12.43,96.5,11.04,0.33,1007.85,0.11
2022-10-15 07:00,12.74,96.25,11.4,0.11,1008.23,1.22
2022-10-15 08:00,13.26,94.6,11.66,0.09,1008.56,3.17
2022-10-15 09:00,14.02,91.05,12.66,0.1,1008.8,9.28
2022-10-15 10:00,14.69,87.1,13.64,0.03,1008.88,13.39
2022-10-15 11:00,15.37,83.75,15.25,0.02,1008.96,15.56
2022-10-15 12:00,15.82,81.4,16.12,0.04,1008.85,14.06
2022-10-15 13:00,16.12,80.3,16.78,0.01,1008.52,13.56
2022-10-15 14:00,16.16,80.45,16.0,0.03,1008.42,13.61
2022-10-15 15:00,16.08,79.55,16.9,0.01,1008.52,17.56
2022-10-15 16:00,15.44,83.15,15.21,0.03,1008.67,12.11
2022-10-15 17:00,14.64,87.95,13.62,0.32,1009.14,0.44
2022-10-15 18:00,14.36,89.35,14.69,0.05,1009.6,0.0
2022-10-15 19:00,14.42,89.1,15.78,0.03,1009.98,0.0
2022-10-15 20:00,14.4,88.8,15.36,0.02,1010.4,0.0
2022-10-15 21:00,14.17,89.9,14.22,0.06,1011.04,0.0
2022-10-15 22:00,14.15,89.95,13.6,0.07,1011.33,0.0
2022-10-15 23:00,13.86,90.8,13.84,0.11,1011.64,0.0
2022-10-16 00:00,13.72,91.4,13.45,0.03,1011.9,0.0
2022-10-16 01:00,13.6,91.65,13.09,0.13,1012.14,0.0
2022-10-16 02:00,13.49,91.7,12.66,0.04,1012.33,0.0
2022-10-16 03:00,13.33,91.65,12.52,0.12,1012.5,0.0
2022-10-16 04:00,13.18,91.1,12.73,0.09,1012.72,0.0
2022-10-16 05:00,13.05,91.75,12.98,0.1,1013.02,0.0
2022-10-16 06:00,12.96,92.3,13.73,0.06,1013.5,0.11
2022-10-16 07:00,13.5,90.8,14.28,0.03,1014.12,2.61
2022-10-16 08:00,14.32,87.9,14.52,0.01,1014.7,12.39
2022-10-16 09:00,15.45,83.1,16.84,0.0,1015.14,19.5
2022-10-16 10:00,16.46,77.8,17.96,0.0,1015.5,27.44
2022-10-16 11:00,17.32,73.0,19.33,0.1,1015.86,25.67
2022-10-16 12:00,17.96,68.55,18.48,0.0,1016.02,32.11
2022-10-16 13:00,18.32,66.2,18.08,0.0,1016.28,33.44
2022-10-16 14:00,18.5,65.25,16.63,0.06,1016.75,38.83
2022-10-16 15:00,18.09,66.95,14.81,0.0,1017.19,37.22
2022-10-16 16:00,16.98,72.25,11.57,0.0,1017.74,28.39
2022-10-16 17:00,15.35,78.7,10.4,0.0,1018.45,4.56
2022-10-16 18:00,14.44,83.05,9.17,0.0,1019.2,0.0
2022-10-16 19:00,13.64,87.5,8.53,0.0,1019.88,0.0
2022-10-16 20:00,13.22,89.45,7.64,0.06,1020.25,0.0
2022-10-16 21:00,13.1,90.25,7.97,0.02,1020.68,0.0
2022-10-16 22:00,13.0,89.7,8.03,0.0,1020.9,0.0
2022-10-16 23:00,12.58,90.7,17.04,0.0,1021.14,0.0
2022-10-17 00:00,12.75,89.1,9.54,0.0,1021.23,0.0
2022-10-17 01:00,12.44,89.7,9.2,0.0,1021.3,0.0
2022-10-17 02:00,12.38,89.25,10.18,0.0,1021.23,0.0
2022-10-17 03:00,12.4,88.9,9.79,0.0,1021.02,0.0
2022-10-17 04:00,12.62,88.05,9.54,0.0,1021.18,0.0
2022-10-17 05:00,12.4,88.05,9.91,0.0,1021.37,0.0
2022-10-17 06:00,12.35,87.2,10.38,0.0,1021.49,0.83
2022-10-17 07:00,13.4,85.45,10.88,0.0,1021.82,21.28
2022-10-17 08:00,15.4,80.35,10.87,0.0,1021.9,35.0
2022-10-17 09:00,17.12,75.75,12.67,0.0,1021.79,42.89
2022-10-17 10:00,18.8,70.15,13.64,0.0,1021.63,42.67
2022-10-17 11:00,20.26,66.25,14.58,0.0,1021.62,41.0
2022-10-17 12:00,21.12,64.1,15.43,0.04,1021.51,39.78
2022-10-17 13:00,21.36,63.0,14.89,0.06,1021.37,35.22
2022-10-17 14:00,21.07,64.55,14.79,0.08,1021.59,29.5
2022-10-17 15:00,20.32,68.2,13.26,0.03,1022.06,25.44
2022-10-17 16:00,19.28,72.35,11.94,0.1,1022.58,21.44
2022-10-17 17:00,17.6,78.75,10.86,0.0,1023.18,3.39
2022-10-17 18:00,16.71,83.55,10.52,0.04,1023.68,0.0
2022-10-17 19:00,15.9,86.7,10.64,0.02,1024.18,0.0
2022-10-17 20:00,15.28,88.9,11.64,0.0,1024.56,0.0
2022-10-17 21:00,14.78,91.25,10.66,0.01,1025.04,0.0
2022-10-17 22:00,14.36,92.6,9.26,0.06,1025.14,0.0
2022-10-17 23:00,13.9,94.15,9.02,0.19,1025.37,0.0
2022-10-18 00:00,13.75,94.85,8.3,0.32,1025.36,0.0
2022-10-18 01:00,13.34,94.4,8.36,0.19,1025.55,0.0
2022-10-18 02:00,13.22,95.35,7.74,0.16,1025.49,0.0
2022-10-18 03:00,13.04,95.45,7.62,0.11,1025.45,0.0
2022-10-18 04:00,12.89,94.55,7.54,0.16,1025.45,0.0
2022-10-18 05:00,12.86,95.05,5.84,0.3,1025.38,0.0
2022-10-18 06:00,12.74,95.3,6.09,0.18,1025.3,0.0
2022-10-18 07:00,13.31,94.5,7.89,0.19,1025.5,4.06
2022-10-18 08:00,13.93,92.3,9.01,0.12,1025.71,9.5
2022-10-18 09:00,14.71,89.8,11.0,0.11,1025.75,14.39
2022-10-18 10:00,15.71,85.5,12.27,0.08,1025.7,14.28
2022-10-18 11:00,16.28,82.0,13.54,0.03,1025.66,17.94
2022-10-18 12:00,16.36,80.05,15.64,0.16,1025.54,15.5
2022-10-18 13:00,16.13,80.35,14.96,0.44,1025.47,19.0
2022-10-18 14:00,16.2,78.15,14.71,0.23,1025.56,26.44
2022-10-18 15:00,15.61,78.6,14.59,0.03,1025.75,28.89
2022-10-18 16:00,14.79,81.8,12.4,0.03,1025.92,23.61
2022-10-18 17:00,13.4,86.65,11.17,0.28,1026.47,5.11
2022-10-18 18:00,12.79,87.75,10.09,0.2,1026.9,0.0
2022-10-18 19:00,12.44,89.15,10.29,0.01,1027.04,0.0
2022-10-18 20:00,11.94,90.3,9.96,0.0,1027.19,0.0
2022-10-18 21:00,11.42,91.4,9.83,0.0,1027.34,0.0
2022-10-18 22:00,11.01,91.9,9.72,0.0,1027.34,0.0
2022-10-18 23:00,10.66,91.3,10.0,0.0,1027.16,0.0
2022-10-19 00:00,10.33,92.35,10.01,0.02,1027.24,0.0
2022-10-19 01:00,9.98,92.2,9.62,0.0,1027.34,0.0
2022-10-19 02:00,9.74,91.9,9.43,0.0,1027.19,0.0
2022-10-19 03:00,9.5,92.55,8.82,0.0,1027.01,0.0
2022-10-19 04:00,9.34,92.75,8.64,0.0,1027.11,0.0
2022-10-19 05:00,9.21,93.5,8.6,0.0,1027.4,0.0
2022-10-19 06:00,9.18,92.2,8.91,0.0,1027.46,0.17
2022-10-19 07:00,9.46,92.5,8.94,0.0,1027.73,3.94
2022-10-19 08:00,10.13,88.9,8.95,0.0,1027.97,11.56
2022-10-19 09:00,10.75,85.45,10.32,0.0,1028.0,23.39
2022-10-19 10:00,11.4,81.2,10.82,0.0,1027.96,25.28
2022-10-19 11:00,11.83,77.95,10.54,0.0,1027.76,28.28
2022-10-19 12:00,12.55,72.95,10.26,0.0,1027.18,30.06
2022-10-19 13:00,12.92,68.5,10.84,0.0,1026.58,33.72
2022-10-19 14:00,12.95,67.8,10.88,0.0,1026.2,40.67
2022-10-19 15:00,12.47,69.05,10.4,0.0,1025.92,44.39
2022-10-19 16:00,11.22,74.2,8.67,0.0,1025.72,31.33
2022-10-19 17:00,9.64,81.15,7.81,0.0,1025.79,3.5
2022-10-19 18:00,8.57,85.65,7.82,0.0,1025.97,0.0
2022-10-19 19:00,7.79,88.15,9.05,0.0,1025.92,0.0
2022-10-19 20:00,7.36,89.45,9.75,0.0,1025.68,0.0
2022-10-19 21:00,6.82,90.3,10.34,0.0,1025.6,0.0
2022-10-19 22:00,6.48,90.45,10.2,0.0,1025.16,0.0
2022-10-19 23:00,6.2,91.25,10.27,0.0,1024.74,0.0
2022-10-20 00:00,5.8,92.2,9.97,0.0,1024.46,0.0
2022-10-20 01:00,5.62,93.1,9.98,0.0,1023.98,0.0
2022-10-20 02:00,5.63,92.95,10.22,0.0,1023.27,0.0
2022-10-20 03:00,5.48,93.65,10.56,0.0,1022.74,0.0
2022-10-20 04:00,5.6,92.6,11.88,0.0,1022.37,0.0
2022-10-20 05:00,5.48,92.35,12.01,0.0,1021.8,0.0
2022-10-20 06:00,5.4,92.45,12.1,0.0,1021.38,0.78
2022-10-20 07:00,6.1,90.65,12.03,0.0,1021.3,20.94
2022-10-20 08:00,7.67,83.7,13.68,0.0,1021.02,32.06
2022-10-20 09:00,9.15,78.6,14.99,0.0,1020.32,36.83
2022-10-20 10:00,10.64,73.1,15.76,0.0,1019.74,38.94
2022-10-20 11:00,11.6,69.5,17.1,0.0,1019.02,42.44
2022-10-20 12:00,12.51,66.95,17.42,0.0,1018.05,40.56
2022-10-20 13:00,12.96,67.0,16.84,0.15,1017.48,39.06
2022-10-20 14:00,12.87,68.5,15.36,0.08,1017.02,36.78
2022-10-20 15:00,12.3,71.65,15.13,0.02,1016.84,25.0
2022-10-20 16:00,11.53,75.95,13.42,0.1,1016.4,7.94
2022-10-20 17:00,10.84,80.85,13.3,0.08,1016.14,1.11
2022-10-20 18:00,10.72,81.7,13.64,0.1,1015.82,0.0
2022-10-20 19:00,10.7,81.75,13.1,0.13,1015.48,0.0
2022-10-20 20:00,10.43,84.45,13.07,0.06,1015.16,0.0
2022-10-20 21:00,10.3,86.35,13.24,0.26,1015.02,0.0
2022-10-20 22:00,10.43,86.05,13.23,0.37,1014.67,0.0
2022-10-20 23:00,10.58,86.65,13.96,0.16,1014.52,0.0
2022-10-21 00:00,10.5,88.55,13.36,0.03,1014.32,0.0
2022-10-21 01:00,10.4,90.05,12.08,0.03,1013.75,0.0
2022-10-21 02:00,10.3,91.3,11.4,0.03,1012.95,0.0
2022-10-21 03:00,10.15,91.95,11.34,0.03,1012.48,0.0
2022-10-21 04:00,10.23,91.8,11.02,0.02,1012.24,0.0
2022-10-21 05:00,10.04,92.35,10.5,0.08,1011.79,0.0
2022-10-21 06:00,10.42,92.15,12.26,0.4,1011.4,0.06
2022-10-21 07:00,10.75,92.25,11.43,0.32,1011.44,3.33
2022-10-21 08:00,11.64,90.7,12.33,0.45,1011.54,11.33
2022-10-21 09:00,12.53,88.55,13.01,0.53,1011.26,15.78
2022-10-21 10:00,13.18,87.1,13.46,0.26,1011.09,9.5
2022-10-21 11:00,13.72,86.7,13.68,0.31,1011.1,8.78
2022-10-21 12:00,14.12,87.65,13.34,0.24,1010.8,8.06
2022-10-21 13:00,14.38,86.9,13.58,0.3,1010.75,6.5
2022-10-21 14:00,14.36,86.65,13.32,0.15,1010.71,5.22
2022-10-21 15:00,14.3,87.2,13.14,0.14,1010.64,5.06
2022-10-21 16:00,13.87,89.35,11.62,0.1,1010.62,3.11
2022-10-21 17:00,13.44,91.35,11.49,0.08,1010.76,0.39
2022-10-21 18:00,13.16,93.25,10.14,0.02,1010.98,0.0
2022-10-21 19:00,12.94,94.15,9.25,0.02,1011.0,0.0
2022-10-21 20:00,12.88,94.95,10.32,0.26,1011.25,0.0
2022-10-21 21:00,12.74,94.9,10.74,0.19,1011.47,0.0
2022-10-21 22:00,12.52,95.05,10.16,0.12,1011.4,0.0
2022-10-21 23:00,12.25,95.45,9.83,0.17,1011.48,0.0
2022-10-22 00:00,12.26,96.55,9.67,0.26,1011.55,0.0
2022-10-22 01:00,12.35,95.9,10.25,0.22,1011.63,0.0
2022-10-22 02:00,12.36,96.05,10.07,0.25,1011.48,0.0
2022-10-22 03:00,12.24,96.0,9.26,0.11,1011.54,0.0
2022-10-22 04:00,12.14,96.0,10.04,0.1,1011.71,0.0
2022-10-22 05:00,12.13,96.45,9.32,0.16,1012.09,0.0
2022-10-22 06:00,12.0,96.5,10.11,0.2,1012.42,0.0
2022-10-22 07:00,11.98,96.65,10.32,0.53,1013.16,1.44
2022-10-22 08:00,12.69,94.2,11.24,0.25,1013.68,12.0
2022-10-22 09:00,13.67,90.75,11.86,0.09,1014.0,18.89
2022-10-22 10:00,14.58,85.85,13.78,0.0,1014.17,23.06
2022-10-22 11:00,15.87,81.05,14.44,0.04,1014.26,31.33
2022-10-22 12:00,16.4,77.3,14.7,0.0,1014.38,33.61
2022-10-22 13:00,16.92,73.8,15.37,0.01,1014.3,34.44
2022-10-22 14:00,16.84,72.85,15.22,0.0,1014.39,32.56
2022-10-22 15:00,16.4,75.2,13.66,0.0,1014.58,29.0
2022-10-22 16:00,15.21,80.6,10.88,0.06,1015.04,20.67
2022-10-22 17:00,13.56,87.8,9.62,0.0,1015.73,2.5
2022-10-22 18:00,12.96,89.5,10.24,0.0,1016.2,0.0
2022-10-22 19:00,12.33,91.65,10.41,0.0,1016.53,0.0
2022-10-22 20:00,12.23,91.45,10.05,0.0,1016.75,0.0
2022-10-22 21:00,11.9,92.2,10.38,0.0,1017.12,0.0
2022-10-22 22:00,11.94,91.45,10.51,0.0,1017.18,0.0
2022-10-22 23:00,11.44,92.6,10.44,0.0,1017.16,0.0
2022-10-23 00:00,10.9,94.3,9.69,0.0,1016.99,0.0
2022-10-23 01:00,10.8,94.35,9.18,0.0,1016.98,0.0
2022-10-23 02:00,10.5,95.35,8.62,0.0,1016.8,0.0
2022-10-23 03:00,10.18,96.1,8.57,0.0,1016.57,0.0
2022-10-23 04:00,9.86,96.15,8.19,0.0,1016.42,0.0
2022-10-23 05:00,9.97,95.6,8.57,0.0,1016.26,0.0
2022-10-23 06:00,9.78,95.05,8.62,0.0,1016.08,0.0
2022-10-23 07:00,10.1,94.35,9.04,0.0,1016.01,10.11
2022-10-23 08:00,11.46,91.5,9.7,0.0,1015.9,21.28
2022-10-23 09:00,12.85,87.0,9.4,0.0,1015.52,30.89
2022-10-23 10:00,14.31,82.05,10.85,0.0,1015.12,34.0
2022-10-23 11:00,15.61,76.6,11.44,0.0,1014.54,34.0
2022-10-23 12:00,16.3,73.85,12.19,0.0,1013.71,29.83
2022-10-23 13:00,16.71,72.45,11.82,0.0,1012.86,24.83
2022-10-23 14:00,16.52,73.65,12.01,0.0,1012.26,16.72
2022-10-23 15:00,16.07,75.55,11.92,0.0,1011.74,9.94
2022-10-23 16:00,15.41,78.1,11.92,0.0,1011.2,3.89
2022-10-23 17:00,14.54,81.95,11.72,0.0,1010.98,0.44
2022-10-23 18:00,14.38,83.4,13.17,0.15,1010.96,0.0
2022-10-23 19:00,14.01,85.95,12.98,0.37,1010.54,0.0
2022-10-23 20:00,14.28,84.2,13.52,0.12,1010.25,0.0
2022-10-23 21:00,14.42,83.85,14.43,0.18,1010.35,0.0
2022-10-23 22:00,14.29,85.15,15.21,0.15,1010.32,0.0
2022-10-23 23:00,14.38,84.95,15.99,0.15,1010.18,0.0
2022-10-24 00:00,14.56,84.2,16.67,0.08,1010.1,0.0
2022-10-24 01:00,14.21,85.65,16.12,0.06,1010.08,0.0
2022-10-24 02:00,14.04,86.8,14.79,0.11,1009.94,0.0
2022-10-24 03:00,13.9,87.35,15.26,0.05,1009.64,0.0
2022-10-24 04:00,13.76,87.6,15.78,0.0,1009.6,0.0
2022-10-24 05:00,13.4,88.8,16.74,0.26,1009.64,0.0
2022-10-24 06:00,13.4,89.0,16.11,0.0,1009.6,0.0
2022-10-24 07:00,13.59,88.45,16.4,0.0,1009.88,2.61
2022-10-24 08:00,14.22,86.4,16.66,0.12,1010.08,7.56
2022-10-24 09:00,14.84,83.85,18.24,0.96,1010.16,18.06
2022-10-24 10:00,15.48,81.0,20.35,0.36,1009.99,20.78
2022-10-24 11:00,15.92,77.45,20.82,0.09,1010.16,20.44
2022-10-24 12:00,16.19,75.7,20.08,0.03,1010.02,14.56
2022-10-24 13:00,16.2,75.35,21.64,0.06,1009.86,15.0
2022-10-24 14:00,16.26,75.1,22.49,0.01,1009.84,17.06
2022-10-24 15:00,15.98,76.45,21.34,0.08,1010.02,15.06
2022-10-24 16:00,15.31,78.75,20.2,0.08,1010.29,7.56
2022-10-24 17:00,14.46,81.25,18.58,0.06,1010.79,0.61
2022-10-24 18:00,13.91,83.15,17.98,0.0,1011.27,0.0
2022-10-24 19:00,13.64,83.8,17.22,0.0,1011.66,0.0
2022-10-24 20:00,13.36,84.8,18.06,0.57,1011.92,0.0
2022-10-24 21:00,12.84,86.15,17.24,0.2,1012.28,0.0
2022-10-24 22:00,12.44,88.2,16.57,0.12,1012.7,0.0
2022-10-24 23:00,12.0,90.25,16.34,0.12,1013.13,0.0
2022-10-25 00:00,11.82,91.25,15.46,0.04,1013.42,0.0
2022-10-25 01:00,11.72,90.55,16.0,0.0,1013.54,0.0
2022-10-25 02:00,11.66,90.5,15.5,0.0,1013.6,0.0
2022-10-25 03:00,11.4,91.35,14.64,0.0,1013.74,0.0
2022-10-25 04:00,11.3,91.4,15.1,0.02,1014.02,0.0
2022-10-25 05:00,11.38,91.45,14.34,0.02,1014.28,0.0
2022-10-25 06:00,11.27,91.5,14.42,0.06,1014.71,0.0
2022-10-25 07:00,11.61,91.5,14.52,0.03,1015.27,3.89
2022-10-25 08:00,12.32,89.35,15.15,0.0,1015.73,11.44
2022-10-25 09:00,13.34,84.9,15.98,0.01,1015.94,19.89
2022-10-25 10:00,14.08,80.85,18.07,0.03,1016.2,20.44
2022-10-25 11:00,14.38,79.0,17.9,0.02,1016.39,19.22
2022-10-25 12:00,15.13,74.7,18.53,0.0,1016.42,23.22
2022-10-25 13:00,15.29,72.95,17.87,0.0,1016.46,27.22
2022-10-25 14:00,15.34,72.3,16.32,0.0,1016.57,28.39
2022-10-25 15:00,14.9,74.15,14.4,0.0,1016.66,29.39
2022-10-25 16:00,13.64,79.5,11.56,0.0,1016.78,21.11
2022-10-25 17:00,12.14,86.0,9.6,0.0,1017.14,2.22
2022-10-25 18:00,11.24,89.35,9.38,0.0,1017.41,0.0
2022-10-25 19:00,10.71,90.45,9.2,0.0,1017.56,0.0
2022-10-25 20:00,10.24,91.85,9.08,0.0,1017.54,0.0
2022-10-25 21:00,9.86,92.65,8.78,0.0,1017.67,0.0
2022-10-25 22:00,9.65,92.75,9.08,0.0,1017.63,0.0
2022-10-25 23:00,9.27,93.35,8.08,0.0,1017.58,0.0
2022-10-26 00:00,9.01,94.25,8.05,0.0,1017.59,0.0
2022-10-26 01:00,8.94,94.65,7.56,0.0,1017.44,0.0
2022-10-26 02:00,8.74,95.2,7.48,0.02,1017.4,0.0
